2025-08-19 16:47:02,579 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:12:29,608 | __main__ | ERROR | Orchestrator failed: 'NameGenerationOrchestrator' object has no attribute 'start_mcp_server'
2025-08-19 17:12:52,746 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:12:52,746 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:12:52,756 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 17:12:52,756 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:12:52,757 | __main__ | INFO | Testing MCP connection...
2025-08-19 17:12:53,070 | __main__ | INFO | MCP test output: 
2025-08-19 17:12:53,071 | __main__ | ERROR | MCP test errors: Traceback (most recent call last):
  File "D:\AI\NAME\temp_mcp_test.py", line 3, in <module>
    from mcp.client.streamable_http import streamablehttp_client
ModuleNotFoundError: No module named 'mcp'

2025-08-19 17:12:53,071 | __main__ | ERROR | MCP connection test failed
2025-08-19 17:13:19,181 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:13:19,182 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:13:19,195 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 17:13:19,196 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:13:19,196 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:13:19,196 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 17:13:19,197 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 17:13:19,197 | __main__ | INFO | Mock MCP tools available: ['weather_forecast', 'name_validation', 'domain_check', 'trademark_search']
2025-08-19 17:13:19,198 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 17:13:19,199 | __main__ | INFO | Mock MCP tool 'weather_forecast' enabled successfully
2025-08-19 17:13:19,206 | __main__ | INFO | Mock MCP tool call successful: Mock weather forecast for Unknown for the next 3 days: Sunny with occasional clouds.
2025-08-19 17:13:19,206 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 17:13:19,206 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 17:13:24,218 | __main__ | INFO | FastAPI server started with PID: 22804
2025-08-19 17:13:29,219 | __main__ | INFO | Testing API endpoints...
2025-08-19 17:13:36,415 | __main__ | INFO | API test output: API test failed: HTTPConnectionPool(host='localhost', port=8001): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026F19F41010>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
API test result: False

2025-08-19 17:13:36,415 | __main__ | ERROR | API endpoint test failed
2025-08-19 17:13:56,052 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:13:56,052 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:13:56,062 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 17:13:56,062 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:13:56,063 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:13:56,063 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 17:13:56,063 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 17:13:56,063 | __main__ | INFO | Mock MCP tools available: ['weather_forecast', 'name_validation', 'domain_check', 'trademark_search']
2025-08-19 17:13:56,063 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 17:13:56,063 | __main__ | INFO | Mock MCP tool 'weather_forecast' enabled successfully
2025-08-19 17:13:56,066 | __main__ | INFO | Mock MCP tool call successful: Mock weather forecast for Unknown for the next 3 days: Sunny with occasional clouds.
2025-08-19 17:13:56,067 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 17:13:56,067 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 17:14:01,075 | __main__ | INFO | FastAPI server started with PID: 42412
2025-08-19 17:14:06,076 | __main__ | INFO | Testing API endpoints...
2025-08-19 17:14:12,583 | __main__ | INFO | API test output: Health check: 200 - {"status":"healthy","service":"name-generation-system"}
Categories: 200 - {"categories":[{"id":"person","name":"Person Names","description":"Names for individuals"},{"id":"project","name":"Project Names","description":"Names for projects and initiatives"},{"id":"code","name":"Code Names","description":"Names for software and code"},{"id":"mission","name":"Mission Names","description":"Names for missions and operations"},{"id":"place","name":"Place Names","description":"Names for locations and places"}]}
Name generation: 200 - {"success":true,"category":"person","parameters":{"sex":"male","region":"United States","age":"25-35"},"result":"Mock swarm result: Mock response from cultural_analyst: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from linguistic_expert: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from validation_specialist: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from creative_director: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'}"}
API test result: True

2025-08-19 17:14:12,584 | __main__ | INFO | All systems operational!
2025-08-19 17:14:12,584 | __main__ | INFO | MCP tools available (mock)
2025-08-19 17:14:12,584 | __main__ | INFO | API server running on port 8001
2025-08-19 17:16:19,733 | __main__ | INFO | Shutting down...
2025-08-19 17:57:01,132 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:57:01,132 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:57:01,137 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 17:57:01,138 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:57:01,138 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:57:01,138 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 17:57:01,138 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 17:57:01,139 | __main__ | INFO | Mock MCP tools available: ['weather_forecast', 'name_validation', 'domain_check', 'trademark_search']
2025-08-19 17:57:01,139 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 17:57:01,139 | __main__ | INFO | Mock MCP tool 'weather_forecast' enabled successfully
2025-08-19 17:57:01,141 | __main__ | INFO | Mock MCP tool call successful: Mock weather forecast for Unknown for the next 3 days: Sunny with occasional clouds.
2025-08-19 17:57:01,141 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 17:57:01,141 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 17:57:06,149 | __main__ | INFO | FastAPI server started with PID: 10656
2025-08-19 17:57:11,149 | __main__ | INFO | Testing API endpoints...
2025-08-19 17:57:18,211 | __main__ | INFO | API test output: Health check: 200 - {"status":"healthy","service":"name-generation-system"}
Categories: 200 - {"categories":[{"id":"person","name":"Person Names","description":"Names for individuals"},{"id":"project","name":"Project Names","description":"Names for projects and initiatives"},{"id":"code","name":"Code Names","description":"Names for software and code"},{"id":"mission","name":"Mission Names","description":"Names for missions and operations"},{"id":"place","name":"Place Names","description":"Names for locations and places"}]}
Name generation: 200 - {"success":true,"category":"person","parameters":{"sex":"male","region":"United States","age":"25-35"},"result":"Mock swarm result: Mock response from cultural_analyst: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from linguistic_expert: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from validation_specialist: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from creative_director: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'}"}
API test result: True

2025-08-19 17:57:18,212 | __main__ | INFO | All systems operational!
2025-08-19 17:57:18,212 | __main__ | INFO | MCP tools available (mock)
2025-08-19 17:57:18,212 | __main__ | INFO | API server running on port 8001
2025-08-19 17:58:12,148 | __main__ | INFO | Shutting down...
2025-08-19 17:58:38,206 | services.ai.strands_agent | INFO | Mock Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 17:58:38,207 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 17:58:38,212 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 17:58:38,212 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:58:38,212 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 17:58:38,212 | services.ai.mcp_integration | INFO | Mock connecting to MCP server at http://localhost:8000/mcp
2025-08-19 17:58:38,213 | services.ai.mcp_integration | INFO | Mock listed 4 MCP tools
2025-08-19 17:58:38,213 | __main__ | INFO | Mock MCP tools available: ['weather_forecast', 'name_validation', 'domain_check', 'trademark_search']
2025-08-19 17:58:38,213 | services.ai.mcp_integration | INFO | Mock enabled tool: weather_forecast
2025-08-19 17:58:38,213 | __main__ | INFO | Mock MCP tool 'weather_forecast' enabled successfully
2025-08-19 17:58:38,214 | __main__ | INFO | Mock MCP tool call successful: Mock weather forecast for Unknown for the next 3 days: Sunny with occasional clouds.
2025-08-19 17:58:38,214 | __main__ | INFO | Mock MCP connection test successful
2025-08-19 17:58:38,214 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 17:58:43,221 | __main__ | INFO | FastAPI server started with PID: 26324
2025-08-19 17:58:48,222 | __main__ | INFO | Testing API endpoints...
2025-08-19 17:58:54,623 | __main__ | INFO | API test output: Health check: 200 - {"status":"healthy","service":"name-generation-system"}
Categories: 200 - {"categories":[{"id":"person","name":"Person Names","description":"Names for individuals"},{"id":"project","name":"Project Names","description":"Names for projects and initiatives"},{"id":"code","name":"Code Names","description":"Names for software and code"},{"id":"mission","name":"Mission Names","description":"Names for missions and operations"},{"id":"place","name":"Place Names","description":"Names for locations and places"}]}
Name generation: 200 - {"success":true,"category":"person","parameters":{"sex":"male","region":"United States","age":"25-35"},"result":"Mock swarm result: Mock response from cultural_analyst: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from linguistic_expert: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from validation_specialist: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'} | Mock response from creative_director: Processing task: Generate culturally appropriate names for a person with parameters: {'sex': 'male', 'region': 'United States', 'age': '25-35'}"}
API test result: True

2025-08-19 17:58:54,624 | __main__ | INFO | All systems operational!
2025-08-19 17:58:54,624 | __main__ | INFO | MCP tools available (mock)
2025-08-19 17:58:54,624 | __main__ | INFO | API server running on port 8001
2025-08-19 18:11:37,210 | services.ai.strands_agent | INFO | Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 18:11:37,210 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 18:11:37,216 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 18:11:37,216 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 18:11:37,217 | __main__ | INFO | Testing MCP connection (mock)...
2025-08-19 18:11:37,217 | services.ai.mcp_integration | INFO | Connecting to MCP server at http://localhost:8000/mcp
2025-08-19 18:11:41,307 | services.ai.mcp_integration | ERROR | MCP connection failed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /mcp (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002DAD2CEE660>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-08-19 18:11:41,307 | __main__ | ERROR | Mock MCP connection failed
2025-08-19 18:11:41,307 | __main__ | ERROR | MCP connection test failed
2025-08-19 18:12:17,719 | services.ai.strands_agent | INFO | Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 18:12:17,719 | __main__ | INFO | Starting Name Generation System Orchestrator
2025-08-19 18:12:17,728 | __main__ | INFO | Using ports - MCP: 8000, API: 8001
2025-08-19 18:12:17,728 | __main__ | INFO | Testing MCP tools (built-in implementation)...
2025-08-19 18:12:17,728 | __main__ | INFO | Testing MCP tools (built-in implementation)...
2025-08-19 18:12:17,728 | services.ai.mcp_integration | INFO | Listed 5 MCP tools
2025-08-19 18:12:17,729 | __main__ | INFO | Built-in MCP tools available: ['domain_check', 'watchlist_validate', 'cultural_context_search', 'trademark_check', 'name_variation_generator']
2025-08-19 18:12:17,729 | services.ai.mcp_integration | INFO | Enabled tool: domain_check
2025-08-19 18:12:17,729 | __main__ | INFO | Built-in MCP tool 'domain_check' enabled successfully
2025-08-19 18:12:17,841 | __main__ | INFO | Built-in MCP tool call successful: Domain .com appears to be available
2025-08-19 18:12:17,841 | __main__ | INFO | Built-in MCP tools test successful
2025-08-19 18:12:17,842 | __main__ | INFO | Starting FastAPI server on port 8001
2025-08-19 18:12:22,849 | __main__ | INFO | FastAPI server started with PID: 18280
2025-08-19 18:12:27,850 | __main__ | INFO | Testing API endpoints...
2025-08-19 18:12:57,869 | __main__ | ERROR | API endpoint test failed: Command '['.venv/Scripts/python.exe', 'temp_api_test.py']' timed out after 30 seconds
2025-08-19 18:12:57,870 | __main__ | ERROR | API endpoint test failed
2025-08-19 18:13:23,582 | services.ai.strands_agent | INFO | Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 18:13:23,653 | __main__ | INFO | ==================================================
2025-08-19 18:13:23,676 | database.database | INFO | Database initialized: sqlite:///./name_generation.db
2025-08-19 18:13:23,681 | services.ai.mcp_integration | INFO | Listed 5 MCP tools
2025-08-19 18:13:23,681 | __main__ | INFO | Available tools: 5
2025-08-19 18:13:23,681 | __main__ | INFO |   - domain_check: Check domain availability across TLDs
2025-08-19 18:13:23,681 | __main__ | INFO |   - watchlist_validate: Check names against government and industry watchlists
2025-08-19 18:13:23,682 | __main__ | INFO |   - cultural_context_search: Analyze cultural meaning and context of names
2025-08-19 18:13:23,682 | __main__ | INFO |   - trademark_check: Validate trademark availability in specific industries
2025-08-19 18:13:23,682 | __main__ | INFO |   - name_variation_generator: Create style-based variations of base names
2025-08-19 18:13:23,682 | services.ai.mcp_integration | INFO | Enabled tool: domain_check
2025-08-19 18:13:23,796 | __main__ | INFO | Tool 'domain_check' result: Domain .com appears to be available
2025-08-19 18:13:25,829 | services.ai.ollama_client | INFO | Successfully connected to Ollama server
2025-08-19 18:13:27,874 | services.ai.ollama_client | INFO | Found 10 Ollama models: ['llama3:latest', 'phi3:mini', 'llama3.1:8b', 'mistral-small3.1:latest', 'qwen2.5-coder:1.5b-base', 'minicpm-v:latest', 'llava:latest', 'llama3.2-vision:latest', 'gemma3:latest', 'llama3.2:latest']
2025-08-19 18:13:27,875 | __main__ | INFO | Available models: 10
2025-08-19 18:13:27,875 | __main__ | INFO |   - llama3:latest
2025-08-19 18:13:27,875 | __main__ | INFO |   - phi3:mini
2025-08-19 18:13:27,875 | __main__ | INFO |   - llama3.1:8b
2025-08-19 18:13:27,881 | services.ai.strands_agent | INFO | Strands agent 'cultural_analyst' created with model 'llama3'
2025-08-19 18:13:27,881 | services.ai.strands_agent | INFO | Strands agent 'linguistic_expert' created with model 'llama3'
2025-08-19 18:13:27,881 | services.ai.strands_agent | INFO | Strands agent 'validation_specialist' created with model 'llama3'
2025-08-19 18:13:27,881 | services.ai.strands_agent | INFO | Strands agent 'creative_director' created with model 'llama3'
2025-08-19 18:13:27,882 | services.ai.strands_agent | INFO | Specialized agents created: ['cultural_analyst', 'linguistic_expert', 'validation_specialist', 'creative_director']
2025-08-19 18:13:27,882 | __main__ | INFO | Created 4 specialized agents:
2025-08-19 18:13:27,882 | __main__ | INFO |   - cultural_analyst: llama3
2025-08-19 18:13:27,882 | __main__ | INFO |   - linguistic_expert: llama3
2025-08-19 18:13:27,882 | __main__ | INFO |   - validation_specialist: llama3
2025-08-19 18:13:27,882 | __main__ | INFO |   - creative_director: llama3
2025-08-19 18:13:27,883 | services.ai.strands_agent | INFO | Strands swarm created with 4 agents
2025-08-19 18:13:27,883 | services.ai.strands_agent | INFO | Name generation swarm created
2025-08-19 18:13:27,888 | __main__ | INFO | Testing MCP tools with sample data...
2025-08-19 18:13:27,888 | services.ai.mcp_integration | INFO | Enabled tool: cultural_context_search
2025-08-19 18:13:28,101 | __main__ | INFO | Domain check: Domain example.com is NOT available (likely taken)
2025-08-19 18:13:28,102 | __main__ | INFO | Cultural context: Cultural context for 'john' in global: Common English name meaning 'God is gracious'
2025-08-19 18:13:28,104 | __main__ | INFO | 
==================================================
2025-08-19 18:13:28,121 | __main__ | INFO | The Name Generation System is ready to use.
2025-08-19 18:13:28,121 | __main__ | INFO | 
Available features:
2025-08-19 18:13:51,147 | services.ai.strands_agent | INFO | Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 18:13:51,161 | __main__ | INFO | ==================================================
2025-08-19 18:13:51,179 | database.database | INFO | Database initialized: sqlite:///./name_generation.db
2025-08-19 18:13:51,183 | services.ai.mcp_integration | INFO | Listed 5 MCP tools
2025-08-19 18:13:51,184 | __main__ | INFO | Available tools: 5
2025-08-19 18:13:51,184 | __main__ | INFO |   - domain_check: Check domain availability across TLDs
2025-08-19 18:13:51,184 | __main__ | INFO |   - watchlist_validate: Check names against government and industry watchlists
2025-08-19 18:13:51,184 | __main__ | INFO |   - cultural_context_search: Analyze cultural meaning and context of names
2025-08-19 18:13:51,184 | __main__ | INFO |   - trademark_check: Validate trademark availability in specific industries
2025-08-19 18:13:51,185 | __main__ | INFO |   - name_variation_generator: Create style-based variations of base names
2025-08-19 18:13:51,185 | services.ai.mcp_integration | INFO | Enabled tool: domain_check
2025-08-19 18:13:51,292 | __main__ | INFO | Tool 'domain_check' result: Domain .com appears to be available
2025-08-19 18:13:53,362 | services.ai.ollama_client | INFO | Successfully connected to Ollama server
2025-08-19 18:13:55,403 | services.ai.ollama_client | INFO | Found 10 Ollama models: ['llama3:latest', 'phi3:mini', 'llama3.1:8b', 'mistral-small3.1:latest', 'qwen2.5-coder:1.5b-base', 'minicpm-v:latest', 'llava:latest', 'llama3.2-vision:latest', 'gemma3:latest', 'llama3.2:latest']
2025-08-19 18:13:55,404 | __main__ | INFO | Available models: 10
2025-08-19 18:13:55,404 | __main__ | INFO |   - llama3:latest
2025-08-19 18:13:55,404 | __main__ | INFO |   - phi3:mini
2025-08-19 18:13:55,404 | __main__ | INFO |   - llama3.1:8b
2025-08-19 18:13:55,408 | services.ai.strands_agent | INFO | Strands agent 'cultural_analyst' created with model 'llama3'
2025-08-19 18:13:55,408 | services.ai.strands_agent | INFO | Strands agent 'linguistic_expert' created with model 'llama3'
2025-08-19 18:13:55,408 | services.ai.strands_agent | INFO | Strands agent 'validation_specialist' created with model 'llama3'
2025-08-19 18:13:55,408 | services.ai.strands_agent | INFO | Strands agent 'creative_director' created with model 'llama3'
2025-08-19 18:13:55,408 | services.ai.strands_agent | INFO | Specialized agents created: ['cultural_analyst', 'linguistic_expert', 'validation_specialist', 'creative_director']
2025-08-19 18:13:55,408 | __main__ | INFO | Created 4 specialized agents:
2025-08-19 18:13:55,409 | __main__ | INFO |   - cultural_analyst: llama3
2025-08-19 18:13:55,409 | __main__ | INFO |   - linguistic_expert: llama3
2025-08-19 18:13:55,409 | __main__ | INFO |   - validation_specialist: llama3
2025-08-19 18:13:55,409 | __main__ | INFO |   - creative_director: llama3
2025-08-19 18:13:55,409 | services.ai.strands_agent | INFO | Strands swarm created with 4 agents
2025-08-19 18:13:55,409 | services.ai.strands_agent | INFO | Name generation swarm created
2025-08-19 18:13:55,414 | __main__ | INFO | Testing MCP tools with sample data...
2025-08-19 18:13:55,414 | services.ai.mcp_integration | INFO | Enabled tool: cultural_context_search
2025-08-19 18:13:55,630 | __main__ | INFO | Domain check: Domain example.com is NOT available (likely taken)
2025-08-19 18:13:55,630 | __main__ | INFO | Cultural context: Cultural context for 'john' in global: Common English name meaning 'God is gracious'
2025-08-19 18:13:55,632 | __main__ | INFO | 
==================================================
2025-08-19 18:13:55,644 | __main__ | INFO | The Name Generation System is ready to use.
2025-08-19 18:13:55,644 | __main__ | INFO | 
Available features:
2025-08-19 18:15:01,655 | services.ai.strands_agent | INFO | Strands Agent Manager initialized with Ollama host: http://localhost:11434
2025-08-19 18:15:01,655 | __main__ | INFO | Starting Name Generation System
2025-08-19 18:15:01,655 | __main__ | INFO | ==================================================
2025-08-19 18:15:01,678 | database.database | INFO | Database initialized: sqlite:///./name_generation.db
2025-08-19 18:15:01,678 | __main__ | INFO | Database initialized successfully
2025-08-19 18:15:01,679 | __main__ | INFO | Testing MCP Tools...
2025-08-19 18:15:01,679 | services.ai.mcp_integration | INFO | Listed 5 MCP tools
2025-08-19 18:15:01,679 | __main__ | INFO | Available tools: 5
2025-08-19 18:15:01,680 | __main__ | INFO |   - domain_check: Check domain availability across TLDs
2025-08-19 18:15:01,680 | __main__ | INFO |   - watchlist_validate: Check names against government and industry watchlists
